Tweets,len,ID,Date,Source,Likes,RTs,SA
Just spoke to Governor Rick Scott. We are working closely with law enforcement on the terrible Florida school shooting.,119,963879275324760070,2018-02-14 20:55:01,Twitter for iPhone,111450,19443,-1
"My prayers and condolences to the families of the victims of the terrible Florida shooting. No child, teacher or an… https://t.co/RFJxgM1jhm",140,963878055969198080,2018-02-14 20:50:11,Twitter for iPhone,173602,39597,-1
"Today, I was honored to be joined by Republicans and Democrats from both the House and Senate, as well as members o… https://t.co/38kUIIV8Cp",140,963853233000275969,2018-02-14 19:11:32,Twitter for iPad,55994,11270,0
"As we come together to celebrate the extraordinary contributions of African-Americans to our nation, our thoughts t… https://t.co/SwAJxO88zC",140,963839056533626880,2018-02-14 18:15:12,Media Studio,65018,14925,1
Negotiations on DACA have begun. Republicans want to make a deal and Democrats say they want to make a deal. Wouldn… https://t.co/YW4mCpHr0R,140,963365328716812288,2018-02-13 10:52:47,Twitter for iPhone,106871,22595,0
"Our infrastructure plan has been put forward and has received great reviews by everyone except, of course, the Demo… https://t.co/2EfB9sObdN",140,963362959463469058,2018-02-13 10:43:22,Twitter for iPhone,105729,22851,1
The journey to #MAGA began @CPAC 2011 and the opportunity to reconnect with friends and supporters is something I l… https://t.co/DSz3Szp4xE,140,963152799486828544,2018-02-12 20:48:16,Twitter for iPhone,67622,14361,0
"Thank you to Sue Kruczek, who lost her wonderful and talented son Nick to the Opioid scourge, for your kind words w… https://t.co/0kIdepXBdi",140,963033580107653120,2018-02-12 12:54:32,Twitter for iPhone,86903,16795,1
"This will be a big week for Infrastructure. After so stupidly spending $7 trillion in the Middle East, it is now ti… https://t.co/OcX7UN18Er",140,963031666150313984,2018-02-12 12:46:56,Twitter for iPhone,139247,30421,-1
Just spoke to @JohnKasich to express condolences and prayers to all for the horrible shooting of two great police o… https://t.co/X7AhuEYwHI,140,962787355932360706,2018-02-11 20:36:08,Twitter for iPhone,77539,14884,-1
"Rep. Lou Barletta, a Great Republican from Pennsylvania who was one of my very earliest supporters, will make a FAN… https://t.co/dA2lK3WHFU",140,962784821389996033,2018-02-11 20:26:03,Twitter for iPhone,97330,24041,1
4.2 million hard working Americans have already received a large Bonus and/or Pay Increase because of our recently… https://t.co/oJl5AiCPZs,139,962767075457593344,2018-02-11 19:15:32,Twitter for iPhone,124855,25018,-1
So many positive things going on for the U.S.A. and the Fake News Media just doesn’t want to go there. Same negativ… https://t.co/LBnzRfAkJx,140,962753552824365056,2018-02-11 18:21:48,Twitter for iPhone,123738,31031,1
"My Administration has identified three major priorities for creating a safe, modern and lawful immigration system:… https://t.co/DrjXUak41S",139,962469767109009408,2018-02-10 23:34:08,Media Studio,119182,31968,1
"My thoughts and prayers are with the two police officers, their families, and everybody at the @WestervillePD. https://t.co/AoingY77Ky",134,962435602296786944,2018-02-10 21:18:23,Twitter for iPhone,84938,20463,0
Republicans want to fix DACA far more than the Democrats do. The Dems had all three branches of government back in… https://t.co/0Or3U2CFZR,139,962398269593784321,2018-02-10 18:50:02,Twitter for iPhone,118118,30479,1
"....agencies, not just the FBI &amp; DOJ, now the State Department to dig up dirt on him in the days leading up to the… https://t.co/Of9d7fmsA3",143,962394439846191105,2018-02-10 18:34:49,Twitter for iPhone,75735,19929,0
“My view is that not only has Trump been vindicated in the last several weeks about the mishandling of the Dossier… https://t.co/dWJuKECfwn,139,962389786328797184,2018-02-10 18:16:20,Twitter for iPhone,101444,25811,0
Peoples lives are being shattered and destroyed by a mere allegation. Some are true and some are false. Some are ol… https://t.co/6Zz5RAeoQe,140,962348831789797381,2018-02-10 15:33:35,Twitter for iPhone,136879,37225,-1
"According to the @nytimes, a Russian sold phony secrets on “Trump” to the U.S. Asking price was $10 million, brough… https://t.co/CBMaAX5VMt",140,962345433170415616,2018-02-10 15:20:05,Twitter for iPhone,105715,32818,0
"The Democrats sent a very political and long response memo which they knew, because of sources and methods (and mor… https://t.co/iR1265rmh3",140,962330457886076928,2018-02-10 14:20:35,Twitter for iPhone,117672,32317,-1
Jobless claims have dropped to a 45 year low!,45,962326008127946752,2018-02-10 14:02:54,Twitter for iPhone,64858,13793,0
"Costs on non-military lines will never come down if we do not elect more Republicans in the 2018 Election, and beyo… https://t.co/WgvQYGEaMu",140,961962694650757121,2018-02-09 13:59:13,Twitter for iPhone,89616,21412,-1
"Without more Republicans in Congress, we were forced to increase spending on things we do not like or want in order… https://t.co/7dfsJYWjRY",140,961959738853548033,2018-02-09 13:47:28,Twitter for iPhone,110594,28087,1
Just signed Bill. Our Military will now be stronger than ever before. We love and need our Military and gave them e… https://t.co/9MtCabhzj8,140,961957671246159875,2018-02-09 13:39:15,Twitter for iPhone,130508,27208,1
Wow! -Senator Mark Warner got caught having extensive contact with a lobbyist for a Russian oligarch. Warner did no… https://t.co/N5SoaLnllm,140,961802557646569475,2018-02-09 03:22:53,Twitter for iPhone,127893,39883,1
Time to end the visa lottery. Congress must secure the immigration system and protect Americans. https://t.co/yukxm48x9X,120,961743032952459264,2018-02-08 23:26:22,Twitter for iPhone,97865,24099,1
As long as we open our eyes to God’s grace - and open our hearts to God’s love - then America will forever be the l… https://t.co/wGUIaD1JX6,140,961693860916289536,2018-02-08 20:10:58,Twitter for iPad,110269,30733,1
"I will be meeting with Henry Kissinger at 1:45pm. Will be discussing North Korea, China and the Middle East.",108,961671974153080834,2018-02-08 18:44:00,Twitter for iPhone,79920,13598,0
Our founders invoked our Creator four times in the Declaration of Independence. Our currency declares “IN GOD WE TR… https://t.co/q8ib233y1M,140,961649129834283008,2018-02-08 17:13:13,Twitter for iPad,107074,29332,0
Will be heading over shortly to make remarks at The National Prayer Breakfast in Washington. Great religious and po… https://t.co/bEReTLNLo4,140,961557382387167238,2018-02-08 11:08:39,Twitter for iPhone,106373,17843,1
The Budget Agreement today is so important for our great Military. It ends the dangerous sequester and gives Secret… https://t.co/VRkKsNDZGC,140,961368036782628864,2018-02-07 22:36:15,Twitter for iPhone,109454,23182,1
Congratulations to the Republic of Korea on what will be a MAGNIFICENT Winter Olympics! What the South Korean peopl… https://t.co/gGaZUnZBMa,140,961362249880252416,2018-02-07 22:13:16,Media Studio,70566,13317,1
Best wishes to the Republic of Korea on hosting the @Olympics! What a wonderful opportunity to show everyone that y… https://t.co/NL6cIfHZgN,140,961298788219420672,2018-02-07 18:01:05,Media Studio,65494,12756,1
NEW FBI TEXTS ARE BOMBSHELLS!,29,961270833569202176,2018-02-07 16:10:00,Twitter for iPhone,138243,39804,1
"In the “old days,” when good news was reported, the Stock Market would go up. Today, when good news is reported, th… https://t.co/mW5vEWhZYY",140,961253168968622086,2018-02-07 14:59:49,Twitter for iPhone,112673,21970,1
"Congratulations @ElonMusk and @SpaceX on the successful #FalconHeavy launch. This achievement, along with @NASA’s c… https://t.co/MaQocjQKcI",140,961073467784421382,2018-02-07 03:05:45,Twitter for iPhone,167605,31689,1
"HAPPY BIRTHDAY to our 40th President of the United States of America, Ronald Reagan! https://t.co/JtEglBhm4c",108,961038807658352640,2018-02-07 00:48:01,Twitter for iPhone,181706,33004,1
"Today, we heard the experiences of law enforcement professionals and community leaders working to combat the threat… https://t.co/BAHG9Ajkio",140,961008057756127232,2018-02-06 22:45:50,Media Studio,76123,18359,0
We need a 21st century MERIT-BASED immigration system.  Chain migration and the visa lottery are outdated programs… https://t.co/5SzmbuLXuY,139,960907362109452288,2018-02-06 16:05:42,Twitter for iPhone,92749,25633,-1
"Polling shows nearly 7 in 10 Americans support an immigration reform package that includes DACA, fully secures the… https://t.co/OD93mZebu7",139,960906105982464000,2018-02-06 16:00:43,Twitter for iPhone,89740,23602,1
"My prayers and best wishes are with the family of Edwin Jackson, a wonderful young man whose life was so senselessly taken. @Colts",130,960869939694505984,2018-02-06 13:37:00,Twitter for iPhone,104740,20920,1
So disgraceful that a person illegally in our country killed @Colts linebacker Edwin Jackson. This is just one of m… https://t.co/r8vqtb4Tjb,140,960868920428253184,2018-02-06 13:32:57,Twitter for iPhone,142987,36098,-1
"Thanks to the historic TAX CUTS that I signed into law, your paychecks are going way UP, your taxes are going way D… https://t.co/DKVuox1qa6",140,960614513224667136,2018-02-05 20:42:01,Twitter for iPhone,105963,22850,1
"Representative Devin Nunes, a man of tremendous courage and grit, may someday be recognized as a Great American Her… https://t.co/p7egMdnqQs",140,960530665702912000,2018-02-05 15:08:51,Twitter for iPhone,133763,35739,1
Any deal on DACA that does not include STRONG border security and the desperately needed WALL is a total waste of t… https://t.co/BuGrQqbWfs,140,960522569492426753,2018-02-05 14:36:40,Twitter for iPhone,123378,29975,-1
"Little Adam Schiff, who is desperate to run for higher office, is one of the biggest liars and leakers in Washingto… https://t.co/7csaXTJLoO",140,960492998734868480,2018-02-05 12:39:10,Twitter for iPhone,142318,42999,-1
Thank you to @foxandfriends for exposing the truth. Perhaps that’s why your ratings are soooo much better than your untruthful competition!,139,960487657691385856,2018-02-05 12:17:57,Twitter for iPhone,107635,22796,1
The Democrats are pushing for Universal HealthCare while thousands of people are marching in the UK because their U… https://t.co/9JK8HHq2bb,140,960486144818450432,2018-02-05 12:11:56,Twitter for iPhone,120983,30702,0
Congratulations to the Philadelphia Eagles on a great Super Bowl victory!,73,960361010904338432,2018-02-05 03:54:42,Twitter for iPhone,212391,36357,1
My thoughts and prayers are with all of the victims involved in this mornings train collision in South Carolina. Th… https://t.co/H3Ypk1ZwMt,140,960195808141414400,2018-02-04 16:58:14,Twitter for iPhone,141913,23118,0
...a tool of anti-Trump political actors. This is unacceptable in a democracy and ought to alarm anyone who wants t… https://t.co/tGnYODCVQx,140,959952974826098688,2018-02-04 00:53:18,Twitter for iPhone,130813,35738,1
“The four page memo released Friday reports the disturbing fact about how the FBI and FISA appear to have been used… https://t.co/ZT9YHhTIlA,140,959949725028974592,2018-02-04 00:40:24,Twitter for iPhone,130677,36836,-1
"Great jobs numbers and finally, after many years, rising wages- and nobody even talks about them. Only Russia, Russ… https://t.co/0gYGNuj0BS",140,959946200488271872,2018-02-04 00:26:23,Twitter for iPhone,136069,30116,1
This memo totally vindicates “Trump” in probe. But the Russian Witch Hunt goes on and on. Their was no Collusion an… https://t.co/GPYj4JbKgN,140,959798743842349056,2018-02-03 14:40:27,Twitter for iPhone,141862,39067,0
"Rasmussen just announced that my approval rating jumped to 49%, a far better number than I had in winning the Elect… https://t.co/GbG8u70wTV",140,959798726381457409,2018-02-03 14:40:23,Twitter for iPhone,156589,34802,1
RT @EricTrump: #MakeAmericaGreatAgain 🇺🇸🇺🇸🇺🇸 https://t.co/CJts3udtNO,68,959784619712401410,2018-02-03 13:44:19,Twitter for iPhone,0,12671,0
RT @EricTrump: 🇺🇸🇺🇸🇺🇸 https://t.co/iszxYp036c,45,959783486289793024,2018-02-03 13:39:49,Twitter for iPhone,0,12248,0
"Today, it was my honor to join the great men and women of @DHSgov, @CustomsBorder, @ICEgov and @USCIS at the U.S. C… https://t.co/r9EL0AhbO1",140,959553606134345728,2018-02-02 22:26:22,Twitter for iPad,71033,14535,1
“Trump the orator outlines the greatness of America to Democrats’ disgust” https://t.co/XpirrtTY6V,98,959488369293254658,2018-02-02 18:07:08,Twitter for iPad,77709,17549,0
"With 3.5 million Americans receiving bonuses or other benefits from their employers as a result of TAX CUTS, 2018 i… https://t.co/cxo1rxdDsj",140,959488037766955009,2018-02-02 18:05:49,Twitter for iPad,108156,27462,-1
“You had Hillary Clinton and the Democratic Party try to hide the fact that they gave money to GPS Fusion to create… https://t.co/A8GoOzBrPx,140,959393270144086016,2018-02-02 11:49:14,Twitter for iPhone,161838,51920,0
The top Leadership and Investigators of the FBI and the Justice Department have politicized the sacred investigativ… https://t.co/xXWIyOvhi0,140,959389424806191104,2018-02-02 11:33:58,Twitter for iPhone,139290,40211,1
"The Democrats just aren’t calling about DACA. Nancy Pelosi and Chuck Schumer have to get moving fast, or they’ll di… https://t.co/Tuz4PCoIF4",140,959268334935203840,2018-02-02 03:32:48,Twitter for iPhone,124214,28674,1
Thank you for all of the nice compliments and reviews on the State of the Union speech. 45.6 million people watched… https://t.co/HKFLkRjlGQ,140,959034299222843394,2018-02-01 12:02:49,Twitter for iPhone,184751,37163,1
"March 5th is rapidly approaching and the Democrats are doing nothing about DACA. They Resist, Blame, Complain and O… https://t.co/A4qhFRv21V",140,959031505145212928,2018-02-01 11:51:43,Twitter for iPhone,123463,29752,0
Heading to beautiful West Virginia to be with great members of the Republican Party. Will be planning Infrastructur… https://t.co/17g1hxSFRI,140,959029384052166657,2018-02-01 11:43:17,Twitter for iPhone,138085,28344,1
"Join me live for the #SOTU
https://t.co/0SLktWxfHi",50,958520216429957121,2018-01-31 02:00:02,Twitter for iPhone,109041,21942,1
"Congratulations to America’s new Secretary of @HHSGov, Alex Azar! https://t.co/Y9inQaCt7o",89,958070403901124609,2018-01-29 20:12:39,Twitter for iPhone,84226,16318,1
Our economy is better than it has been in many decades. Businesses are coming back to America like never before. Ch… https://t.co/ZrThpTutNr,140,957603804383465472,2018-01-28 13:18:33,Twitter for iPhone,199690,42133,1
"Somebody please inform Jay-Z that because of my policies, Black Unemployment has just been reported to be at the LOWEST RATE EVER RECORDED!",139,957603800579297280,2018-01-28 13:18:32,Twitter for iPhone,240365,63855,-1
Democrats are not interested in Border Safety &amp; Security or in the funding and rebuilding of our Military. They are… https://t.co/wM9cL8CBo7,144,957465263129219073,2018-01-28 04:08:02,Twitter for iPhone,157350,35747,-1
"I have offered DACA a wonderful deal, including a doubling in the number of recipients &amp; a twelve year pathway to c… https://t.co/gSxSjiRcoC",144,957462746060206080,2018-01-28 03:58:02,Twitter for iPhone,175793,46808,1
"Taliban targeted innocent Afghans, brave police in Kabul today. Our thoughts and prayers go to the victims, and fir… https://t.co/nxuDZV0VYZ",140,957387711693905925,2018-01-27 22:59:52,Twitter for iPhone,114286,22005,1
"On Holocaust Remembrance Day we mourn and grieve the murder of 6 million innocent Jewish men, women and children, a… https://t.co/Df8jIU5KW2",140,957334999522533376,2018-01-27 19:30:24,Twitter for iPhone,107948,25830,1
Thank you to Brandon Judd of the National Border Patrol Council for his strong statement on @foxandfriends that we… https://t.co/33QbAoLFxj,139,957220637705109505,2018-01-27 11:55:58,Twitter for iPhone,124233,29111,1
Thank you for the wonderful welcome @WEF! #Davos2018 https://t.co/IQkoQJxR5B,76,957032249509097472,2018-01-26 23:27:23,Twitter for iPhone,72339,16274,1
DACA has been made increasingly difficult by the fact that Cryin’ Chuck Schumer took such a beating over the shutdo… https://t.co/5faBeqcNP9,140,956938973326098432,2018-01-26 17:16:44,Twitter for iPhone,119436,26207,-1
"Heading back from a very exciting two days in Davos, Switzerland. Speech on America’s economic revival was well rec… https://t.co/JbNNrNVH9z",140,956937916374138880,2018-01-26 17:12:32,Twitter for iPhone,112286,22550,1
"Join me live at the 2018 World Economic Forum in Davos, Switzerland! #WEF18 https://t.co/fdHejCmv73 https://t.co/DuKJlVTWB8",123,956873004776116225,2018-01-26 12:54:36,Twitter for iPhone,52454,10065,1
Great bilateral meeting with President @Alain_Berset of the Swiss Confederation - as we continue to strengthen our… https://t.co/3bK58PuFPd,139,956849981528379392,2018-01-26 11:23:07,Twitter for iPhone,55913,10714,1
"It was an honor to meet with Republic of Rwanda President Paul Kagame this morning in Davos, Switzerland. Many grea… https://t.co/tiD5NSYYwB",140,956840839627595776,2018-01-26 10:46:48,Twitter for iPhone,63723,12441,1
"Will be interviewed on  @SquawkCNBC by @JoeSquawk coming up at 6:00amE from Davos, Switzerland. Enjoy! #WEF18 https://t.co/7egYlxnFBd",133,956831942351183873,2018-01-26 10:11:26,Twitter for iPhone,36769,6556,1
"Today, Americans everywhere remember the brave men and women of @NASA who lost their lives in our Nation’s eternal… https://t.co/KMP2MhJVLS",139,956657520562573312,2018-01-25 22:38:21,Twitter for iPhone,84198,17716,1
"Very productive bilateral meeting with Prime Minister Benjamin @Netanyahu of Israel - in Davos, Switzerland! #WEF18 https://t.co/2sZM9YI7tJ",139,956588348864454656,2018-01-25 18:03:29,Twitter for iPhone,73044,15114,1
"Great bilateral meeting with Prime Minister Theresa May of the United Kingdom, affirming the special relationship a… https://t.co/6bIzOEo8DK",140,956578887160532992,2018-01-25 17:25:53,Twitter for iPhone,76568,15993,1
"Will soon be heading to Davos, Switzerland, to tell the world how great America is and is doing. Our economy is now… https://t.co/OwSYSiCiKe",140,956322473955545089,2018-01-25 00:27:00,Twitter for iPhone,153019,28348,1
It was my great honor to welcome Mayor’s from across America to the WH. My Administration will always support local… https://t.co/N7Z9Dw3uIi,140,956298399946563585,2018-01-24 22:51:20,Media Studio,79434,16764,1
"Earlier today, I spoke with @GovMattBevin of Kentucky regarding yesterday’s shooting at Marshall County High School… https://t.co/20Bf0p7oFT",140,956261892640604161,2018-01-24 20:26:16,Twitter for iPhone,98916,19248,1
Tremendous investment by companies from all over the world being made in America. There has never been anything lik… https://t.co/sUp4LsbXhz,140,956134228726558720,2018-01-24 11:58:58,Twitter for iPhone,147492,33207,1
"Cryin’ Chuck Schumer fully understands, especially after his humiliating defeat, that if there is no Wall, there is… https://t.co/oaabUSfT9w",140,956015565776277510,2018-01-24 04:07:27,Twitter for iPhone,155124,36640,0
"Where are the 50,000 important text messages between FBI lovers Lisa Page and Peter Strzok?  Blaming Samsung!",109,956012274942128128,2018-01-24 03:54:22,Twitter for iPhone,127893,32072,1
"Thank you to General John Kelly, who is doing a fantastic job, and all of the Staff and others in the White House,… https://t.co/q4hhzEEjor",139,955806333667807232,2018-01-23 14:16:02,Twitter for iPhone,97835,21535,1
"Nobody knows for sure that the Republicans &amp; Democrats will be able to reach a deal on DACA by February 8, but ever… https://t.co/2qBHLtCo1u",144,955795912374267907,2018-01-23 13:34:37,Twitter for iPhone,112855,24029,1
